Park,Studio and/or Partnerships,Day & Time ,Studio Link, 2023 Season,Latitude,Longitude,City,Cost,"Links To Park Information, Studio, and Registration (If Applicable)",NYC Yoga Studio Archive Links
Astoria Park,Yoga Agora,"Saturdays - Sundays, 12pm-1pm",https://www.yogaagora.com/,,40.7786419951617,-73.92284433095090,Queens ,$10.00,https://www.nycgovparks.org/parks/astoria-park/, https://nycyogastudiosarchive.omeka.net/items/show/196
Athens Square,Yoga Agora,"Mondays, Tuesdays, Wednesdays, Thursdays, Fridays 9am-10am",https://www.yogaagora.com/,,40.7682125727951,-73.9222659135142,Queens,$10.00,https://www.nycgovparks.org/parks/athens-square,https://nycyogastudiosarchive.omeka.net/items/show/277
Brooklyn Bridge Park (Pier 3),Abhaya,Tuesdays 6pm-7pm,https://abhayayoga.com/,May 2 - September 26,40.69825719830310,-73.99980600211700,Brooklyn,Donation,http://www.brooklynbridgepark.org/,https://nycyogastudiosarchive.omeka.net/items/show/219
Brower Park,Urban Asanas,Sundays 12:30pm-1:30pm,https://www.urbanasanas.com,,40.673686133158300,-73.94323400211770,Brooklyn,Donation,https://www.nycgovparks.org/parks/brower-park,https://nycyogastudiosarchive.omeka.net/items/show/167
Carroll Hall ,Baby Cobra,Tuesdays 7pm-8pm,http://babycobrayoga.com,May - August,40.7065713840554,-73.9305350946615,Brooklyn,Donation,https://www.carrollhall.com/,https://nycyogastudiosarchive.omeka.net/items/show/278
Bryant Park,Studio Partnerships with the Bryant Park Corporation,"Tuesdays 10am-11am, Wednesdays 6pm-7pm",,June 6-September 27,40.75375089871490,-73.98315750037920,New York,Free,https://bryantpark.org/activities/yoga,https://nycyogastudiosarchive.omeka.net/items/show/186
Carl Schurz Park,New York Yoga,"Tuesdays 8am-9am, Sundays 11am-12pm",https://www.newyorkyoga.com/index.php?content=schedule-park,,40.77530486052990,-73.94365438669410,New York,$35/class,https://www.nycgovparks.org/parks/M081/,https://nycyogastudiosarchive.omeka.net/items/show/111
Central Park,"The Yoga Trail, Independent Instructors","Mondays, Tuesdays, Wednesdays, Thursdays, Fridays 12pm-1:15pm, 6pm-7:15pm
Saturdays, Sundays 10am-11:15am, 12pm-1:15pm, 2pm-3:15pm",https://www.theyogatrail.com,,40.7730872958116,-73.9743207188329,New York,$18-22/Yoga Trail,https://www.nycgovparks.org/parks/central-park,https://nycyogastudiosarchive.omeka.net/items/show/179
Fort Greene Park,Shala Yoga in Partnership with Ft Greene Conservancy,Saturdays 11am-12pm,https://theshala.com/,,40.69160243432170,-73.97529894921450,Brooklyn,Free,https://fortgreenepark.org/,https://nycyogastudiosarchive.omeka.net/items/show/190
Open Air Fair (Greenpoint Terminal Market),New Love City,"Saturday, June 3rd
Family class (kids + adults) 11-11:45am 
Adult class 12:15-1:15pm 

Sunday, June 4th
Adult class 11am-12pm 
Adult class 12:15-1:15pm",https://www.newlovecity.co,,40.7283500536953,-73.9607076728521,Brooklyn ,TBD,https://greenpointterminalmarket.com/,https://nycyogastudiosarchive.omeka.net/items/show/239
Marcus Garvey Park,Harlem Yoga Studio,"Tuesdays 6:15pm-7:15pm, Thursdays 6:30pm-7:30pm, Saturdays 10am-11am",http://harlemyogastudio.com,,40.80454970444000,-73.94376849021210,New York,$20.00, https://www.nycgovparks.org/parks/marcus-garvey-park/,https://nycyogastudiosarchive.omeka.net/items/show/185
Prospect Park (Long Meadow),Brooklyn Flow and Prospect Park Alliance Present Select Brooklyn Based Instructors,Thursdays 7pm-8pm,https://brooklynflow.com/,June 1 - August 24,40.66922996527680,-73.97035858196660,Brooklyn,Free,"https://www.prospectpark.org/, https://www.nycgovparks.org/parks/B073/",https://nycyogastudiosarchive.omeka.net/items/show/176
Riverside Park,Sweet Water Dance and Yoga in Partnership with The Riverside Park Conservancy,Thursdays 6:30pm-7:30pm,https://www.sweetwaterdanceandyoga.com/,June 1 - September 28,40.81066613334110,-73.96734071004700,New York,Free,"https://www.nycgovparks.org/parks/riverside-park, https://riversideparknyc.org/",https://nycyogastudiosarchive.omeka.net/files/show/620
Socrates Sculpture Park,Independent Instructor in Partnership with Socrates Sculpture Park,"Saturdays 9:30am-10:30am, 11am-12pm",https://www.jenbatsonyoga.com/,May 6 - October 15,40.774559467318,-73.9372690633009,Queens,Free,https://socratessculpturepark.org/programevent/yoga-saturdays-2023/,https://nycyogastudiosarchive.omeka.net/items/show/240
South Street Seaport (Pier 17),Lyons Den Power Yoga in Partnership with Seaport x Fit ,Saturdays 10:30am - 11:30am,http://www.lyonsdenpoweryoga.com/,May - June,40.706802020083100,-74.0032470355983,New York,Free,https://theseaport.nyc/events/lyons-den-power-yoga/,https://nycyogastudiosarchive.omeka.net/items/show/187
Transmitter Park,New Love City,"Tuesdays, Thursdays 8am-9am, Saturdays 8:30am-9:30am",https://www.newlovecity.co,May - ,40.73068977933460,-73.96086132036090,Brooklyn,$20.00,https://www.nycgovparks.org/parks/transmitter-park,"https://nycyogastudiosarchive.omeka.net/items/show/184, https://nycyogastudiosarchive.omeka.net/items/show/109"
Mount Prospect Park,Linden Movement Lab,"Fridays 6:30pm-7:30pm, Saturday 12pm-1:06pm",https://www.lindenmovementlab.org/,May - August,40.6709263597478,-73.9671541089561,Brooklyn,Sliding Scale $17-25 ,https://www.nycgovparks.org/parks/mount-prospect-park,https://nycyogastudiosarchive.omeka.net/items/show/197
Elizabeth Street Garden,Sky Ting Yoga,Saturdays 10:30am-11:30am,https://skyting.com,May - June,40.7223673651469,-73.9945889441675,New York,Suggest $15 Donation,http://elizabethstreetgarden.com/,https://nycyogastudiosarchive.omeka.net/items/show/189
Peter Stuyvesant Park,Independent Instructor in Partnership with the Conservancy,Thursdays 9am-10am,https://www.janahicks.com/,June 1 - August 31,40.7341253335413,-73.9840618864967,New York,Free,"https://www.nycgovparks.org/parks/stuyvesant-square, https://spnanyc.networkforgood.com/events/56191-yoga-with-jana-hicks?utm_campaign=dms_email_blast_2557905",https://nycyogastudiosarchive.omeka.net/items/show/188
Hunters Point (Gantry Park),"Hunters Point Parks Conservancy in Partnership with Independent Instructor, Sponsored by Weill Cornell Medicine - Long Island City, and Gotham",Mondays 7pm-8pm,https://cosmicfitclub.com/,May - August,40.7471336643868,-73.9582832156365,Queens,Free,"https://www.hunterspointparks.org/whats-happening , https://parks.ny.gov/parks/149/details.aspx",https://nycyogastudiosarchive.omeka.net/items/show/252
"Concert Grove Pavilion, Prospect Park","Linden Movement Lab, Independent Instructors","Wednesdays 7:30am-8:15am, Sundays 10am-10:50am",https://www.lindenmovementlab.org/,June - September,40.6594680232801,-73.9637946151141,Brooklyn,Sliding Scale $17-25 ,https://www.prospectpark.org/visit-the-park/park-map/points-interest/points-interest-concert-grove-pavilion/,https://nycyogastudiosarchive.omeka.net/items/show/176
Greenpoint Public Library Rooftop,New Love City,Saturdays 10:30am-11:30am,https://www.newlovecity.co,May - June,40.7260232644385,-73.9505935423293,Brooklyn,Free,https://www.bklynlibrary.org/calendar/rooftop-yoga-new-love-greenpoint-demonstration-20230513,https://nycyogastudiosarchive.omeka.net/items/show/279
Underhill Avenue & Atlantic Plaza,Shambhala Yoga ,Tuesdays 6:30pm-7:30pm,https://linktr.ee/shambhalayogadance,June-August,40.6811108188834,-73.9645520396371,Brooklyn,Free,,https://nycyogastudiosarchive.omeka.net/items/show/280
Westervelt Family & Community Garden,Yoga Be,Saturdays 10:30am-11:30am,https://www.beyogadance.net/,May - June,40.6444112821416,-74.0845319800321,Staten Island,Free,https://www.nyrp.org/en/gardens-and-parks/westervelt-family-and-community-garden/,https://nycyogastudiosarchive.omeka.net/items/show/281
Hudson River Park Pier 26,Lululemon Ambassadors,Fridays 6:30pm-7:30pm,,June - August,40.7212521726841,-74.0130685067462,New York,Free,https://hudsonriverpark.org/event-series/healthy-on-the-hudson/,https://nycyogastudiosarchive.omeka.net/items/show/282
Hudson River Park Pier 64 at W 24 St,Lululemon Ambassadors,Wednesdays 6:30pm-7:30pm,,June - August,40.750886725112,-74.0088127323263,New York,Free,https://hudsonriverpark.org/event-series/healthy-on-the-hudson/,https://nycyogastudiosarchive.omeka.net/items/show/283
Hudson River Park Pier 84 at W 44 St,Lululemon Ambassadors,Mondays 6:30pm-7:30pm,,June - August,40.7633463041079,-74.0005260458181,New York,Free,https://hudsonriverpark.org/event-series/healthy-on-the-hudson/,https://nycyogastudiosarchive.omeka.net/items/show/284
Randall’s Island (East River Picnic Area),Instructor in partnership with Randall’s Island Park Alliance,Tuesdays 6:30pm-7:30pm,https://randallsisland.org/events/yoga-in-the-park-13/all/,May - August,40.6854490070336,-74.0259618633045,New York,Free,https://www.nycgovparks.org/parks/randalls-island/,https://nycyogastudiosarchive.omeka.net/items/show/285
Brooklyn Navy Yard Farm,Instructor in partnership with Brooklyn Grange,Tuesdays 6:30pm-7:30pm,https://www.brooklyngrangefarm.com/yoga,May - October,40.6997470604127,-73.9725718632705,Brooklyn,$14-22,https://www.brooklyngrangefarm.com/yoga,https://nycyogastudiosarchive.omeka.net/items/show/276
The Box House Hotel (Rooftop),YO BK,"Mondays, Tuesdays 6:30pm-7:30pm",http://www.yo-bk.com/schedule,,40.7378770053858,-73.9534202071105,Brooklyn,,https://theboxhousehotel.com,https://nycyogastudiosarchive.omeka.net/items/show/286
The Oculus,Sputnik Yoga Sponsored by Lifeway Foods,Wednesdays 7pm-8pm,https://www.sputnikyoga.com/events,May 3 - October 25,40.7116812919378,-74.0113933223349,New York,Free,https://www.officialworldtradecenter.com/en/local/things-to-do/events/wellness-wednesdays.html,https://nycyogastudiosarchive.omeka.net/items/show/273
Margaritaville Resort Times Square ,Sputnik Yoga Sponsored by Lifeway Foods,Saturdays 9am-10am,https://www.sputnikyoga.com/events,June 1 - September 30,40.7589163121112,-73.9863179697793,New York,Free,https://www.margaritavilleresorts.com/margaritaville-resort-times-square,https://nycyogastudiosarchive.omeka.net/items/show/274
Sunset Park,Unit 108,Sundays 11am-12pm,https://www.unit108.yoga/,June - September,40.6541823274963,-73.9963455329394,New York,Donation,https://www.nycgovparks.org/parks/sunset-park,https://nycyogastudiosarchive.omeka.net/items/show/174
TAMA Bedstuy Open Streets,Stacked Yoga,Sunday June 4th & July 12pm-1pm,http://stackedyoga.com/,June 4th & 18th,40.6836384462996,-73.9439749411346,Brooklyn,Free,http://www.tamabedstuy.com/,https://nycyogastudiosarchive.omeka.net/admin/items/show/41
Fab Fulton,Prema Yoga,"Sunday July 23, August 20th, 9:30-10:15am",https://www.premayogabrooklyn.com,July 23rd &August 20th,40.6826823876573,-73.9619866106272,Brooklyn,Free,https://www.fabfulton.org/,https://nycyogastudiosarchive.omeka.net/items/show/118
